Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00     18.49     0.00    18602     0.00     0.00  void std::iter_swap<nd*, nd*>(nd*, nd*)
  0.00     18.49     0.00    15702     0.00     0.00  std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::key_comp() const
  0.00     18.49     0.00    15702     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::key_comp() const
  0.00     18.49     0.00    15436     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_Node_allocator()
  0.00     18.49     0.00    10011     0.00     0.00  __gcc_deregister_frame
  0.00     18.49     0.00     9996     0.00     0.00  std::remove_reference<bool (*&)(nd const&, nd const&)>::type&& std::move<bool (*&)(nd const&, nd const&)>(bool (*&)(nd const&, nd const&))
  0.00     18.49     0.00     9986     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(nd const&, nd const&)>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>&&)
  0.00     18.49     0.00     9986     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(nd const&, nd const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(nd const&, nd const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00     9986     0.00     0.00  void std::__unguarded_linear_insert<nd*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00     9986     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>&>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>&)
  0.00     18.49     0.00     9975     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00     9975     0.00     0.00  void std::__unguarded_linear_insert<int*, __gnu_cxx::__ops::_Val_less_iter>(int*, __gnu_cxx::__ops::_Val_less_iter)
  0.00     18.49     0.00     8568     0.00     0.00  std::_Head_base<0u, int const&, false>::_M_head(std::_Head_base<0u, int const&, false>&)
  0.00     18.49     0.00     8568     0.00     0.00  std::_Head_base<0u, int const&, false>::_Head_base(int const&)
  0.00     18.49     0.00     8568     0.00     0.00  std::_Tuple_impl<0u, int const&>::_M_head(std::_Tuple_impl<0u, int const&>&)
  0.00     18.49     0.00     8568     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00     18.49     0.00     8568     0.00     0.00  operator new(unsigned int, void*)
